# bpm: 46.0
# max_angle_deg: 90
# hold_ms: 300
# bus: 1
# addr: 0x40
# channel: 0
# timestamp_start: 2025-10-19 22:49:01.683
# timestamp, ms_since_start, angle_deg
2025-10-19 22:49:01.693,0.000,0
2025-10-19 22:49:01.694,1.088,0
2025-10-19 22:49:01.707,14.251,3
2025-10-19 22:49:01.720,27.460,5
2025-10-19 22:49:01.733,40.764,8
2025-10-19 22:49:01.746,53.966,11
2025-10-19 22:49:01.760,67.297,14
2025-10-19 22:49:01.774,81.125,16
2025-10-19 22:49:01.787,94.434,19
2025-10-19 22:49:01.800,107.689,22
2025-10-19 22:49:01.813,120.832,25
2025-10-19 22:49:01.827,134.652,27
2025-10-19 22:49:01.841,148.184,30
2025-10-19 22:49:01.854,161.387,33
2025-10-19 22:49:01.867,174.710,35
2025-10-19 22:49:01.880,187.971,38
2025-10-19 22:49:01.894,201.535,41
2025-10-19 22:49:01.907,214.855,44
2025-10-19 22:49:01.921,228.072,46
2025-10-19 22:49:01.934,241.290,49
2025-10-19 22:49:01.947,254.434,52
2025-10-19 22:49:01.960,267.639,55
2025-10-19 22:49:01.973,280.817,57
2025-10-19 22:49:01.987,294.149,60
2025-10-19 22:49:02.000,307.371,63
2025-10-19 22:49:02.013,320.619,65
2025-10-19 22:49:02.026,333.838,68
2025-10-19 22:49:02.040,347.079,71
2025-10-19 22:49:02.053,360.295,74
2025-10-19 22:49:02.066,373.508,76
2025-10-19 22:49:02.079,386.909,79
2025-10-19 22:49:02.093,400.050,82
2025-10-19 22:49:02.106,413.338,85
2025-10-19 22:49:02.119,426.605,87
2025-10-19 22:49:02.132,439.778,90
2025-10-19 22:49:02.146,453.190,90
2025-10-19 22:49:02.159,466.321,88
2025-10-19 22:49:02.172,479.626,86
2025-10-19 22:49:02.185,492.830,85
2025-10-19 22:49:02.199,506.259,83
2025-10-19 22:49:02.212,520.183,81
2025-10-19 22:49:02.226,533.579,79
2025-10-19 22:49:02.240,547.205,77
2025-10-19 22:49:02.253,560.744,76
2025-10-19 22:49:02.267,574.206,74
2025-10-19 22:49:02.283,590.816,72
2025-10-19 22:49:02.297,604.014,70
2025-10-19 22:49:02.310,617.221,68
2025-10-19 22:49:02.323,630.966,67
2025-10-19 22:49:02.337,644.275,65
2025-10-19 22:49:02.350,657.458,63
2025-10-19 22:49:02.363,670.772,61
2025-10-19 22:49:02.377,684.204,59
2025-10-19 22:49:02.390,697.415,58
2025-10-19 22:49:02.403,710.651,56
2025-10-19 22:49:02.416,723.827,54
2025-10-19 22:49:02.430,737.406,52
2025-10-19 22:49:02.443,750.596,50
2025-10-19 22:49:02.456,763.972,49
2025-10-19 22:49:02.470,777.221,47
2025-10-19 22:49:02.483,790.435,45
2025-10-19 22:49:02.496,803.703,43
2025-10-19 22:49:02.510,817.769,41
2025-10-19 22:49:02.523,830.984,40
2025-10-19 22:49:02.537,844.293,38
2025-10-19 22:49:02.550,857.954,36
2025-10-19 22:49:02.564,871.324,34
2025-10-19 22:49:02.577,884.846,32
2025-10-19 22:49:02.591,898.149,31
2025-10-19 22:49:02.604,911.327,29
2025-10-19 22:49:02.617,924.761,27
2025-10-19 22:49:02.630,938.026,25
2025-10-19 22:49:02.644,951.533,23
2025-10-19 22:49:02.657,964.828,22
2025-10-19 22:49:02.670,977.958,20
2025-10-19 22:49:02.684,991.091,18
2025-10-19 22:49:02.697,1004.227,16
2025-10-19 22:49:02.710,1017.877,14
2025-10-19 22:49:02.724,1031.278,13
2025-10-19 22:49:02.737,1044.644,11
2025-10-19 22:49:02.750,1058.027,9
2025-10-19 22:49:02.764,1071.722,7
2025-10-19 22:49:02.778,1085.066,5
2025-10-19 22:49:02.792,1099.449,4
2025-10-19 22:49:02.805,1112.887,2
2025-10-19 22:49:02.819,1126.165,0
2025-10-19 22:49:02.832,1139.639,0
2025-10-19 22:49:02.845,1153.021,0
2025-10-19 22:49:02.859,1166.339,0
2025-10-19 22:49:02.873,1180.124,0
2025-10-19 22:49:02.886,1193.451,0
2025-10-19 22:49:02.899,1206.871,0
2025-10-19 22:49:02.913,1220.242,0
2025-10-19 22:49:02.926,1233.783,0
2025-10-19 22:49:02.940,1247.332,0
2025-10-19 22:49:02.953,1260.779,0
2025-10-19 22:49:02.967,1274.525,0
2025-10-19 22:49:02.981,1288.147,0
2025-10-19 22:49:02.994,1301.675,0
2025-10-19 22:49:03.007,1314.856,0
2025-10-19 22:49:03.022,1329.630,0
2025-10-19 22:49:03.036,1343.114,0
2025-10-19 22:49:03.049,1356.469,0
2025-10-19 22:49:03.062,1369.779,0
2025-10-19 22:49:03.075,1382.972,0
2025-10-19 22:49:03.089,1396.122,0
2025-10-19 22:49:03.102,1409.387,0
2025-10-19 22:49:03.115,1422.777,0
2025-10-19 22:49:03.129,1436.090,0
2025-10-19 22:49:03.142,1449.544,0
2025-10-19 22:49:03.155,1463.114,3
2025-10-19 22:49:03.169,1476.726,5
2025-10-19 22:49:03.182,1490.032,8
2025-10-19 22:49:03.196,1503.428,11
2025-10-19 22:49:03.209,1516.999,14
2025-10-19 22:49:03.223,1530.394,16
2025-10-19 22:49:03.236,1543.538,19
2025-10-19 22:49:03.249,1556.796,22
2025-10-19 22:49:03.262,1570.029,25
2025-10-19 22:49:03.276,1583.236,27
2025-10-19 22:49:03.289,1596.546,30
2025-10-19 22:49:03.302,1609.779,33
2025-10-19 22:49:03.315,1623.040,35
2025-10-19 22:49:03.329,1636.301,38
2025-10-19 22:49:03.342,1649.510,41
2025-10-19 22:49:03.355,1662.710,44
2025-10-19 22:49:03.368,1675.990,46
2025-10-19 22:49:03.382,1689.194,49
2025-10-19 22:49:03.395,1702.423,52
2025-10-19 22:49:03.408,1715.696,55
