# bpm: 40.0
# max_angle_deg: 90
# hold_ms: 300
# bus: 1
# addr: 0x40
# channel: 0
# timestamp_start: 2025-10-12 23:33:17.282
# timestamp, ms_since_start, angle_deg
2025-10-12 23:33:17.292,0.000,0
2025-10-12 23:33:17.293,1.228,0
2025-10-12 23:33:17.306,14.441,2
2025-10-12 23:33:17.320,27.672,4
2025-10-12 23:33:17.333,40.837,7
2025-10-12 23:33:17.346,54.111,9
2025-10-12 23:33:17.359,67.329,11
2025-10-12 23:33:17.373,80.639,14
2025-10-12 23:33:17.386,93.910,16
2025-10-12 23:33:17.399,107.118,18
2025-10-12 23:33:17.412,120.522,20
2025-10-12 23:33:17.426,133.799,22
2025-10-12 23:33:17.439,147.023,25
2025-10-12 23:33:17.452,160.168,27
2025-10-12 23:33:17.466,173.647,29
2025-10-12 23:33:17.479,186.894,31
2025-10-12 23:33:17.492,200.036,34
2025-10-12 23:33:17.505,213.376,36
2025-10-12 23:33:17.519,226.807,38
2025-10-12 23:33:17.532,240.338,40
2025-10-12 23:33:17.547,254.878,43
2025-10-12 23:33:17.560,268.368,45
2025-10-12 23:33:17.574,281.854,47
2025-10-12 23:33:17.588,296.635,50
2025-10-12 23:33:17.603,311.348,52
2025-10-12 23:33:17.618,325.866,54
2025-10-12 23:33:17.632,340.083,56
2025-10-12 23:33:17.647,354.811,58
2025-10-12 23:33:17.661,369.605,61
2025-10-12 23:33:17.676,384.456,63
2025-10-12 23:33:17.691,399.171,65
2025-10-12 23:33:17.706,414.454,68
2025-10-12 23:33:17.720,428.708,70
2025-10-12 23:33:17.734,442.286,72
2025-10-12 23:33:17.748,455.911,74
2025-10-12 23:33:17.761,469.602,76
2025-10-12 23:33:17.775,483.821,79
2025-10-12 23:33:17.790,497.782,81
2025-10-12 23:33:17.804,512.122,83
2025-10-12 23:33:17.817,525.553,86
2025-10-12 23:33:17.831,538.744,88
2025-10-12 23:33:17.844,551.885,90
2025-10-12 23:33:17.857,565.080,90
2025-10-12 23:33:17.870,578.407,88
2025-10-12 23:33:17.885,592.836,87
2025-10-12 23:33:17.898,606.039,86
2025-10-12 23:33:17.911,619.307,84
2025-10-12 23:33:17.924,632.498,82
2025-10-12 23:33:17.938,645.760,81
2025-10-12 23:33:17.951,659.123,80
2025-10-12 23:33:17.964,672.444,78
2025-10-12 23:33:17.978,686.006,76
2025-10-12 23:33:17.991,699.749,75
2025-10-12 23:33:18.005,713.437,74
2025-10-12 23:33:18.019,727.152,72
2025-10-12 23:33:18.033,740.925,70
2025-10-12 23:33:18.046,754.557,69
2025-10-12 23:33:18.060,767.931,68
2025-10-12 23:33:18.073,781.635,66
2025-10-12 23:33:18.087,794.986,64
2025-10-12 23:33:18.101,808.837,63
2025-10-12 23:33:18.115,822.817,62
2025-10-12 23:33:18.128,836.629,60
2025-10-12 23:33:18.143,850.650,58
2025-10-12 23:33:18.156,864.292,57
2025-10-12 23:33:18.170,878.218,56
2025-10-12 23:33:18.183,891.689,54
2025-10-12 23:33:18.197,905.703,52
2025-10-12 23:33:18.211,919.596,51
2025-10-12 23:33:18.225,933.553,50
2025-10-12 23:33:18.239,946.956,48
2025-10-12 23:33:18.252,960.221,46
2025-10-12 23:33:18.266,973.824,45
2025-10-12 23:33:18.279,987.037,43
2025-10-12 23:33:18.292,1000.203,42
2025-10-12 23:33:18.305,1013.419,40
2025-10-12 23:33:18.319,1026.685,39
2025-10-12 23:33:18.332,1040.089,38
2025-10-12 23:33:18.345,1053.311,36
2025-10-12 23:33:18.358,1066.616,34
2025-10-12 23:33:18.372,1079.957,33
2025-10-12 23:33:18.387,1094.910,32
2025-10-12 23:33:18.400,1108.255,30
2025-10-12 23:33:18.413,1121.583,28
