# bpm: 46.0
# max_angle_deg: 90
# hold_ms: 300
# bus: 1
# addr: 0x40
# channel: 0
# timestamp_start: 2025-10-19 17:56:10.595
# timestamp, ms_since_start, angle_deg
2025-10-19 17:56:10.605,0.000,0
2025-10-19 17:56:10.606,1.055,0
2025-10-19 17:56:10.619,14.190,3
2025-10-19 17:56:10.632,27.382,5
2025-10-19 17:56:10.645,40.472,8
2025-10-19 17:56:10.658,53.560,11
2025-10-19 17:56:10.671,66.686,14
2025-10-19 17:56:10.684,80.024,16
2025-10-19 17:56:10.698,93.343,19
2025-10-19 17:56:10.711,106.499,22
2025-10-19 17:56:10.729,124.245,25
2025-10-19 17:56:10.742,137.487,27
2025-10-19 17:56:10.755,150.779,30
2025-10-19 17:56:10.768,164.726,33
2025-10-19 17:56:10.783,178.838,35
2025-10-19 17:56:10.796,191.983,38
2025-10-19 17:56:10.810,205.220,41
2025-10-19 17:56:10.823,218.420,44
2025-10-19 17:56:10.836,231.642,46
2025-10-19 17:56:10.849,245.001,49
2025-10-19 17:56:10.863,258.432,52
2025-10-19 17:56:10.876,271.677,55
2025-10-19 17:56:10.889,284.822,57
2025-10-19 17:56:10.903,298.120,60
2025-10-19 17:56:10.916,311.361,63
2025-10-19 17:56:10.929,324.514,65
2025-10-19 17:56:10.942,337.661,68
2025-10-19 17:56:10.955,351.063,71
2025-10-19 17:56:10.969,364.332,74
2025-10-19 17:56:10.983,378.286,76
2025-10-19 17:56:10.996,391.424,79
2025-10-19 17:56:11.009,404.631,82
2025-10-19 17:56:11.022,417.871,85
2025-10-19 17:56:11.036,431.106,87
2025-10-19 17:56:11.049,444.607,90
2025-10-19 17:56:11.062,457.873,90
2025-10-19 17:56:11.076,471.034,88
2025-10-19 17:56:11.089,484.196,86
2025-10-19 17:56:11.102,497.436,85
2025-10-19 17:56:11.115,510.730,83
2025-10-19 17:56:11.128,523.979,81
2025-10-19 17:56:11.142,537.193,79
2025-10-19 17:56:11.155,550.527,77
2025-10-19 17:56:11.168,563.760,76
2025-10-19 17:56:11.182,577.048,74
2025-10-19 17:56:11.195,590.300,72
2025-10-19 17:56:11.208,603.524,70
2025-10-19 17:56:11.221,616.759,68
2025-10-19 17:56:11.235,630.041,67
2025-10-19 17:56:11.248,643.414,65
2025-10-19 17:56:11.261,656.847,63
2025-10-19 17:56:11.275,670.203,61
2025-10-19 17:56:11.288,683.569,59
2025-10-19 17:56:11.301,697.087,58
2025-10-19 17:56:11.317,712.971,56
2025-10-19 17:56:11.331,726.165,54
2025-10-19 17:56:11.344,739.434,52
2025-10-19 17:56:11.357,752.724,50
2025-10-19 17:56:11.370,765.929,49
2025-10-19 17:56:11.384,779.152,47
2025-10-19 17:56:11.397,792.385,45
2025-10-19 17:56:11.410,805.644,43
2025-10-19 17:56:11.423,818.878,41
2025-10-19 17:56:11.437,832.246,40
2025-10-19 17:56:11.450,845.588,38
2025-10-19 17:56:11.463,858.890,36
2025-10-19 17:56:11.477,872.294,34
2025-10-19 17:56:11.491,887.031,32
2025-10-19 17:56:11.505,900.348,31
2025-10-19 17:56:11.518,913.553,29
2025-10-19 17:56:11.531,927.232,27
2025-10-19 17:56:11.545,940.715,25
2025-10-19 17:56:11.559,954.906,23
2025-10-19 17:56:11.573,970.052,22
2025-10-19 17:56:11.588,983.991,20
2025-10-19 17:56:11.602,997.770,18
2025-10-19 17:56:11.616,1011.571,16
2025-10-19 17:56:11.629,1024.828,14
2025-10-19 17:56:11.643,1038.430,13
2025-10-19 17:56:11.656,1051.766,11
2025-10-19 17:56:11.669,1064.980,9
2025-10-19 17:56:11.683,1078.465,7
2025-10-19 17:56:11.697,1092.227,5
2025-10-19 17:56:11.710,1105.461,4
2025-10-19 17:56:11.723,1118.685,2
2025-10-19 17:56:11.736,1132.106,0
2025-10-19 17:56:11.751,1146.142,0
2025-10-19 17:56:11.764,1159.386,0
2025-10-19 17:56:11.778,1173.304,0
2025-10-19 17:56:11.791,1186.771,0
2025-10-19 17:56:11.804,1200.448,0
2025-10-19 17:56:11.818,1213.867,0
2025-10-19 17:56:11.832,1227.370,0
2025-10-19 17:56:11.845,1240.808,0
2025-10-19 17:56:11.858,1254.198,0
2025-10-19 17:56:11.872,1267.526,0
2025-10-19 17:56:11.885,1280.988,0
2025-10-19 17:56:11.899,1294.165,0
2025-10-19 17:56:11.912,1307.325,0
2025-10-19 17:56:11.925,1320.495,0
2025-10-19 17:56:11.938,1333.597,0
2025-10-19 17:56:11.951,1346.912,0
2025-10-19 17:56:11.965,1360.474,0
2025-10-19 17:56:11.978,1373.715,0
2025-10-19 17:56:11.992,1387.851,0
2025-10-19 17:56:12.006,1401.494,0
2025-10-19 17:56:12.019,1414.732,0
2025-10-19 17:56:12.032,1427.999,0
2025-10-19 17:56:12.046,1441.333,0
2025-10-19 17:56:12.059,1454.676,0
2025-10-19 17:56:12.072,1468.344,3
2025-10-19 17:56:12.086,1481.649,5
2025-10-19 17:56:12.099,1495.203,8
2025-10-19 17:56:12.113,1508.766,11
2025-10-19 17:56:12.127,1522.266,14
2025-10-19 17:56:12.140,1535.707,16
2025-10-19 17:56:12.154,1549.525,19
2025-10-19 17:56:12.167,1562.779,22
2025-10-19 17:56:12.181,1576.113,25
2025-10-19 17:56:12.194,1589.456,27
