file,distance_cm,duration_used_s,fs_Hz,BPM_est,BPM_err_pct,A_est_m,A_err_pct
distance_log_50cm.csv,50,299.96800000003356,31.249999999996504,40.39999999999548,0.9999999999886988%,0.0017497381131804466,-41.675396227318444%
distance_log_70cm.csv,70,299.96800000003356,31.249999999996504,40.1999999999955,0.49999999998874506%,0.0024414952284299574,-18.616825719001422%
distance_log_90cm.csv,90,299.96800000003356,31.249999999996504,40.1999999999955,0.49999999998874506%,0.0022067726983143986,-26.440910056186716%
distance_log_110cm.csv,110,299.96800000003356,31.249999999996504,40.1999999999955,0.49999999998874506%,0.002435565539109132,-18.814482029695597%
distance_log_130cm.csv,130,299.96800000003356,31.249999999996504,40.1999999999955,0.49999999998874506%,0.0027109719285289915,-9.634269049033618%
distance_log_150cm.csv,150,299.96800000003356,31.249999999996504,40.1999999999955,0.49999999998874506%,0.002545739227887782,-15.142025737073936%
distance_log_170cm.csv,170,299.9680000001002,31.249999999989566,40.39999999998651,0.9999999999662812%,0.008316314035628774,177.21046785429246%
distance_log_190cm.csv,190,299.9680000001002,31.249999999989566,40.39999999998651,0.9999999999662812%,0.005316317279308701,77.2105759769567%
distance_log_210cm.csv,210,299.9680000001002,31.249999999989566,40.39999999998651,0.9999999999662812%,0.004749980507990618,58.33268359968727%
distance_log_230cm.csv,230,299.9360000001002,31.249999999989566,40.4043097930311,1.0107744825777587%,0.005773009871320816,92.43366237736052%
distance_log_250cm.csv,250,299.9680000001002,31.249999999989566,40.39999999998651,0.9999999999662812%,0.0062557368683692875,108.52456227897625%
distance_log_270cm.csv,270,299.96800000010006,31.249999999989566,40.39999999998651,0.9999999999662812%,0.0071632431700311356,138.7747723343712%
distance_log_290cm.csv,290,299.9680000001002,31.249999999989566,40.39999999998651,0.9999999999662812%,0.005457480250184082,81.91600833946939%
